"ID","Description","n_studies","n_cell_types","n_percentages","weighted_meta_pvalue","weighted_meta_padj","weighted_mean_NES","weighted_mean_pvalue","weighted_mean_padj","weighted_enhanced_score","effect_consistency","min_NES","max_NES","nes_range","individual_NES","individual_pvalue","individual_padj","individual_percentages","individual_cell_types","individual_weights","database","meta_group","weighted_analysis","analysis_version","weighted_meta_padj_corrected","log2_fold_enrichment","mean_nes","meta_fdr","meta_pvalue","meta_score","n_methods","cell_type","effect","regulation_pattern_set_membership","confidence_tier"
"GO:0098657","import into cell",2,1,2,0.0460849170272299,0.115276955118102,1.98421399592493,0.00578334630141862,0.0184246825339897,1.98421399592493,0.929157409317413,1.8953676801437,2.09527189065147,0.19990421050777,"1.895;2.095","8.8e-03;2.1e-03","2.6e-02;9.0e-03","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.048914692634165,1.98421399592493,1.98421399592493,0.115276955118102,0.0460849170272299,1.98421399592493,2,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0071900","regulation of protein serine/threonine kinase activity",1,1,1,0.00488705434753444,0.0179733194774772,1.98257534137462,0.00488705434753444,0.0179733194774772,1.98257534137462,1,1.98257534137462,1.98257534137462,0,"1.983","4.9e-03","1.8e-02","10pct","376_Astro","0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.00886103832101036,1.98257534137462,1.98257534137462,0.0179733194774772,0.00488705434753444,1.98257534137462,1,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0007611","learning or memory",1,1,1,0.00572801702108918,0.0205873858517718,1.98010453477651,0.00572801702108918,0.0205873858517718,1.98010453477651,1,1.98010453477651,1.98010453477651,0,"1.98","5.7e-03","2.1e-02","10pct","376_Astro","0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.00970474902492489,1.98010453477651,1.98010453477651,0.0205873858517718,0.00572801702108918,1.98010453477651,1,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0042470","melanosome",1,1,1,0.00267994240496973,0.00685647602310437,1.97839914259347,0.00267994240496973,0.00685647602310437,1.97839914259347,1,1.97839914259347,1.97839914259347,0,"1.978","2.7e-03","6.9e-03","10pct","376_Astro","0.4","GO_CC","376_Astro",TRUE,"v7_weighted_standalone",0.00602737975838917,1.97839914259347,1.97839914259347,0.00685647602310437,0.00267994240496973,1.97839914259347,1,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0048770","pigment granule",1,1,1,0.00267994240496973,0.00685647602310437,1.97839914259347,0.00267994240496973,0.00685647602310437,1.97839914259347,1,1.97839914259347,1.97839914259347,0,"1.978","2.7e-03","6.9e-03","10pct","376_Astro","0.4","GO_CC","376_Astro",TRUE,"v7_weighted_standalone",0.00602737975838917,1.97839914259347,1.97839914259347,0.00685647602310437,0.00267994240496973,1.97839914259347,1,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0005773","vacuole",2,1,2,0.039528539578366,0.0711982990431261,1.97789608128867,0.00731896137690662,0.0134629865793993,1.97789608128867,0.867476568029598,1.8114114247973,2.18600190190288,0.374590477105586,"1.811;2.186","1.3e-02;8.3e-04","2.2e-02;2.4e-03","5pct;10pct","376_Astro;376_Astro","0.5;0.4","GO_CC","376_Astro",TRUE,"v7_weighted_standalone",0.0428580043815617,1.97789608128867,1.97789608128867,0.0711982990431261,0.039528539578366,1.97789608128867,2,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0141187","nucleic acid biosynthetic process",1,1,1,0.00945721419177527,0.0275598645331134,-1.97215210806855,0.00945721419177527,0.0275598645331134,1.97215210806855,1,-1.97215210806855,-1.97215210806855,0,"-1.972","9.5e-03","2.8e-02","5pct","376_Astro","0.5","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.0139892777164402,-1.97215210806855,-1.97215210806855,0.0275598645331134,0.00945721419177527,1.97215210806855,1,"376_Astro","parity","Under-represented","Method-Specific"
"GO:0009746","response to hexose",1,1,1,0.00345972219743942,0.0138764944658168,1.96936788975061,0.00345972219743942,0.0138764944658168,1.96936788975061,1,1.96936788975061,1.96936788975061,0,"1.969","3.5e-03","1.4e-02","10pct","376_Astro","0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.00704758225404326,1.96936788975061,1.96936788975061,0.0138764944658168,0.00345972219743942,1.96936788975061,1,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0009749","response to glucose",1,1,1,0.00345972219743942,0.0138764944658168,1.96936788975061,0.00345972219743942,0.0138764944658168,1.96936788975061,1,1.96936788975061,1.96936788975061,0,"1.969","3.5e-03","1.4e-02","10pct","376_Astro","0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.00704758225404326,1.96936788975061,1.96936788975061,0.0138764944658168,0.00345972219743942,1.96936788975061,1,"376_Astro","parity","Over-represented","Method-Specific"
"GO:0045055","regulated exocytosis",1,1,1,0.0045432396253595,0.0169338931490672,1.96534662302251,0.0045432396253595,0.0169338931490672,1.96534662302251,1,1.96534662302251,1.96534662302251,0,"1.965","4.5e-03","1.7e-02","10pct","376_Astro","0.4","GO_BP","376_Astro",TRUE,"v7_weighted_standalone",0.00848351843624228,1.96534662302251,1.96534662302251,0.0169338931490672,0.0045432396253595,1.96534662302251,1,"376_Astro","parity","Over-represented","Method-Specific"
