ID,Description,n_studies,n_cell_types,n_percentages,weighted_meta_pvalue,weighted_meta_padj,weighted_mean_NES,weighted_mean_pvalue,weighted_mean_padj,weighted_enhanced_score,effect_consistency,min_NES,max_NES,nes_range,individual_NES,individual_pvalue,individual_padj,individual_percentages,individual_cell_types,individual_weights,database,meta_group,weighted_analysis,analysis_version,weighted_meta_padj_corrected
GO:0030072,peptide hormone secretion,4,2,2,2.1874545767035513e-4,0.003413582756008648,2.423212551407801,4.2572058467596783e-4,0.0023859575314704178,2.423212551407801,0.9454161367445523,2.278212092357637,2.5269694808720295,0.24875738851439255,2.521;2.317;2.527;2.278,8.4e-05;1.1e-03;1.1e-04;5.6e-04,7.4e-04;5.5e-03;9.3e-04;3.2e-03,5pct;10pct;5pct;10pct,356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.5;0.4,GO_BP,CA3_do_combined,TRUE,v7_weighted_standalone,6.551693219980393e-4
GO:1901265,nucleoside phosphate binding,5,2,3,2.1582160802916542e-4,0.0029422910266078553,2.5076268005454985,7.640645787267513e-4,0.004806854954625,2.5076268005454985,0.8468604130831341,2.038763197105053,2.8809791283365684,0.8422159312315154,2.259;2.838;2.039;2.287;2.881,1.0e-03;6.8e-06;3.6e-03;1.1e-03;8.9e-06,4.2e-03;6.7e-05;4.7e-02;4.4e-03;8.7e-05,5pct;10pct;25pct;5pct;10pct,356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.1;0.5;0.4,GO_MF,CA3_do_combined,TRUE,v7_weighted_standalone,6.551693219980393e-4
GO:0010975,regulation of neuron projection development,6,2,3,2.2176101341283771e-4,0.005727688488227964,2.5433216487673147,1.7852824742324783e-4,0.003757432582162935,2.5433216487673147,0.9210975491512393,2.213067230709571,2.6832310690916397,0.47016383838206854,2.557;2.683;2.235;2.513;2.583;2.213,1.5e-04;2.7e-05;1.1e-03;1.5e-04;3.5e-05;6.9e-04,1.1e-03;2.6e-04;3.6e-02;1.2e-03;3.5e-04;2.6e-02,5pct;10pct;25pct;5pct;10pct;25pct,356_CA3_do;356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.1;0.5;0.4;0.1,GO_BP,CA3_do_combined,TRUE,v7_weighted_standalone,6.609770011431182e-4
GO:0043523,regulation of neuron apoptotic process,1,1,1,8.032809819410707e-5,6.306610262473512e-4,2.494193763984849,8.032809819410705e-5,6.306610262473512e-4,2.494193763984849,1,2.494193763984849,2.494193763984849,0,2.494,8e-05,6.3e-04,10pct,376_Astro,0.4,GO_BP,376_Astro,TRUE,v7_weighted_standalone,6.645584468452254e-4
GO:0005737,cytoplasm,1,1,1,8.128483482073831e-5,3.0075388883673177e-4,2.5086313151647106,8.128483482073831e-5,3.0075388883673177e-4,2.5086313151647106,1,2.5086313151647106,2.5086313151647106,0,2.509,8.1e-05,3e-04,5pct,376_Astro,0.5,GO_CC,376_Astro,TRUE,v7_weighted_standalone,6.645584468452254e-4
GO:0048878,chemical homeostasis,4,2,2,2.2445002793263085e-4,0.003300564150335225,2.4331884831622728,3.354308800972264e-4,0.0020266938450282904,2.4331884831622728,0.9661434042092795,2.3678757239295813,2.549153906676098,0.18127818274651686,2.385;2.549;2.368;2.459,4.3e-04;5.8e-05;5.8e-04;1.9e-04,2.5e-03;5.0e-04;3.2e-03;1.4e-03,5pct;10pct;5pct;10pct,356_CA3_do;356_CA3_do;358_CA3_do;358_CA3_do,0.5;0.4;0.5;0.4,GO_BP,CA3_do_combined,TRUE,v7_weighted_standalone,6.657599862349533e-4
GO:0032412,regulation of monoatomic ion transmembrane transporter activity,1,1,1,8.211234339755651e-5,6.492740295792504e-4,2.5483933466835165,8.211234339755651e-5,6.492740295792503e-4,2.5483933466835165,1,2.548393346683517,2.548393346683517,0,2.548,8.2e-05,6.5e-04,10pct,78_Sst_HPF,0.4,GO_BP,78_Sst_HPF,TRUE,v7_weighted_standalone,6.83129079099116e-4
GO:0051649,establishment of localization in cell,2,1,2,9.067412233432044e-5,0.0011184014884560549,2.9939087492649503,2.4505582428378903e-6,4.34758689311831e-5,2.9939087492649503,0.9550927651922376,2.8886476829195193,3.078117602341295,0.1894699194217755,3.078;2.889,9.8e-07;4.3e-06,2.8e-05;6.3e-05,5pct;10pct,376_Astro;376_Astro,0.5;0.4,GO_BP,376_Astro,TRUE,v7_weighted_standalone,7.314379201635182e-4
GO:0009141,nucleoside triphosphate metabolic process,3,1,3,9.702457378526729e-5,0.0016231122586236636,3.0237914095464506,4.358130150092434e-5,3.8182870585873357e-4,3.0237914095464506,0.8263736377788524,2.541812744570655,3.611027828691546,1.069215084120891,2.542;3.611;3.085,8.7e-05;2.8e-09;8.0e-07,7.1e-04;1.8e-07;2.9e-04,5pct;10pct;25pct,376_Astro;376_Astro;376_Astro,0.5;0.4;0.1,GO_BP,376_Astro,TRUE,v7_weighted_standalone,7.525623992318809e-4
GO:0009205,purine ribonucleoside triphosphate metabolic process,3,1,3,9.489846222964715e-5,0.0016132824600725098,3.032673026938039,4.3563207244546295e-5,3.797684123787715e-4,3.032673026938039,0.8270904504774192,2.541812744570655,3.611027828691546,1.069215084120891,2.542;3.611;3.174,8.7e-05;2.8e-09;6.2e-07,7.1e-04;1.8e-07;2.7e-04,5pct;10pct;25pct,376_Astro;376_Astro;376_Astro,0.5;0.4;0.1,GO_BP,376_Astro,TRUE,v7_weighted_standalone,7.525623992318809e-4
