"cell_type","ID","Description","n_methods","methods","databases","meta_pvalue","meta_fdr","consensus_score","mean_nes","nes_consistency","evidence_strength","association_p","expression_p","statistical_p","composite_p","association_nes","expression_nes","statistical_nes","composite_nes","meta_score","effect","confidence_tier","regulation_pattern"
"78_Sst_HPF","R-MMU-375276","Peptide ligand-binding receptors",4,"association;expression;statistical;composite","Reactome Pathways",2.18429892301164e-15,1.37143637161513e-07,1,-1.28746284701159,0.965246176878252,2.65823791158954,0.000228142287586773,0.00539866384072865,0.00269771254018515,0.0164967847667123,-1.34436996264359,-1.26693183625615,-1.29829721664953,-1.24025237249711,2.56585398139463,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","MIKKELSEN_MEF_HCP_WITH_H3K27ME3","MIKKELSEN_MEF_HCP_WITH_H3K27ME3",4,"association;expression;statistical;composite","MSigDB Curated",5.13433377630022e-17,1.4379612844029e-07,1,-1.15600745738368,0.990903838516776,2.5586117196376,0.00220138937099688,0.00195847273061773,0.00632755530091924,0.00212057802214675,-1.17102845901099,-1.1533061244314,-1.15323111119245,-1.1464641348999,2.5353381742629,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","GO:0001653","peptide receptor activity",4,"association;expression;statistical;composite","GO Molecular Function",6.51284452016563e-15,1.73288458813528e-07,1,-1.30569618359611,0.965609198236248,2.61867589707731,0.000275655120355212,0.00764966092090715,0.00277770547033739,0.0122154914673414,-1.36776903825508,-1.28429757219827,-1.30670108022855,-1.26401704370255,2.52861753341741,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","GO:0015267","channel activity",4,"association;expression;statistical;composite","GO Molecular Function",1.49641474810178e-14,2.46111708534704e-07,1,-1.15385473445216,0.982726845149451,2.56651287504725,0.000411379649773387,0.00764966092090715,0.00277770547033739,0.0122154914673414,-1.18035517706264,-1.14464185924141,-1.15650522645226,-1.13391667505234,2.52218110073063,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","GO:0022803","passive transmembrane transporter activity",4,"association;expression;statistical;composite","GO Molecular Function",1.49641474810178e-14,2.46111708534704e-07,1,-1.15385473445216,0.982726845149451,2.56651287504725,0.000411379649773387,0.00764966092090715,0.00277770547033739,0.0122154914673414,-1.18035517706264,-1.14464185924141,-1.15650522645226,-1.13391667505234,2.52218110073063,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS","REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS",4,"association;expression;statistical;composite","MSigDB Curated",1.1168044656376e-16,2.85934290008202e-07,1,-1.28663809131458,0.962973968972125,2.56619397145432,0.000253655991397254,0.00656149296234315,0.00435387187751368,0.0174909969965558,-1.35177704351488,-1.26450595452872,-1.28912171147312,-1.24114765574161,2.47117799384371,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","GO:0005216","monoatomic ion channel activity",4,"association;expression;statistical;composite","GO Molecular Function",1.26686343024666e-13,9.59075294667866e-07,1,-1.14940665474433,0.984074537954151,2.3877955263531,0.00063978105326938,0.00794544625724345,0.00803944850184643,0.0124535915096011,-1.17432476354352,-1.14016807324023,-1.15094812386145,-1.13218565833211,2.34976877932492,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","GO:0008528","G protein-coupled peptide receptor activity",4,"association;expression;statistical;composite","GO Molecular Function",8.96713977891862e-14,8.12608943932556e-07,1,-1.30457021489206,0.967172608950249,2.42178329130961,0.000406449918944704,0.0127754911919571,0.00556209518660471,0.0145563654991221,-1.36314147908129,-1.28494916600541,-1.30663548444869,-1.26355473003284,2.34228246416804,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","GO:0030545","signaling receptor regulator activity",4,"association;expression;statistical;composite","GO Molecular Function",7.49871477198033e-13,3.13794969090323e-06,1,-1.16905328573431,0.981740341889802,2.22683445284034,0.00134857669058549,0.00972148491027129,0.0100320219989972,0.0152972339865602,-1.19943937030322,-1.15837152360181,-1.16743152217216,-1.15097072686003,2.18617321706347,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","GO:0030312","external encapsulating structure",4,"association;expression;statistical;composite","GO Cellular Component",3.83188157139839e-14,1.17433224603163e-05,1,-1.15932777571797,0.975721068082105,2.09758624041084,0.000696175486035154,0.0342307759110904,0.00841108188371854,0.0471959739159064,-1.19909303531298,-1.14330182232442,-1.15879216646837,-1.13612407876613,2.04665908688799,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","GO:0031012","extracellular matrix",4,"association;expression;statistical;composite","GO Cellular Component",3.83188157139839e-14,1.17433224603163e-05,1,-1.15932777571797,0.975721068082105,2.09758624041084,0.000696175486035154,0.0342307759110904,0.00841108188371854,0.0471959739159064,-1.19909303531298,-1.14330182232442,-1.15879216646837,-1.13612407876613,2.04665908688799,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","GO:0022836","gated channel activity",4,"association;expression;statistical;composite","GO Molecular Function",1.27092486613112e-11,2.64163073262367e-05,1,-1.15768695979224,0.98360908639338,1.94367595431398,0.0034077368509345,0.0213976306248717,0.0143515736899705,0.0236504624928703,-1.18449313508364,-1.1466912270226,-1.15738942517322,-1.14217405188949,1.91181732966756,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL","REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL",4,"association;expression;statistical;composite","MSigDB Curated",1.82504818077834e-14,1.92508798109803e-05,1,-1.39041139879691,0.97360149947353,1.96357934534209,0.00571902575529759,0.0118190424100503,0.0166289561920378,0.0151116224452986,-1.43636910512419,-1.37065270523058,-1.40176610156032,-1.35285768327256,1.91174379496031,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","GO:0005227","calcium-activated cation channel activity",4,"association;expression;statistical;composite","GO Molecular Function",6.546446950133e-11,7.52016399406667e-05,1,-1.40441835250802,0.979007328085646,1.78956436756971,0.0101590510928741,0.0172909311392309,0.0159196396262368,0.0310605347453833,-1.44462973359772,-1.38650926430679,-1.40778046336978,-1.37875394875779,1.7519966299317,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","GO:0015318","inorganic molecular entity transmembrane transporter activity",4,"association;expression;statistical;composite","GO Molecular Function",9.32821005148661e-11,9.4915911906529e-05,1,-1.11219563506533,0.989571368550434,1.76692342838267,0.00604596217856131,0.027668754875089,0.0258052662597828,0.0266724106266589,-1.12915290244421,-1.10422611470889,-1.11016517140156,-1.10523835170667,1.74849683514846,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS","REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS",4,"association;expression;statistical;composite","MSigDB Curated",1.34995478280012e-13,7.71225867566154e-05,1,-1.21358889962858,0.982837782696002,1.77542706567199,0.00941880385873014,0.0264772884476273,0.0205291834090571,0.0174909969965558,-1.24318198841348,-1.20343479956531,-1.21204282741438,-1.19569598312113,1.74495680056353,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","GO:0048018","receptor ligand activity",4,"association;expression;statistical;composite","GO Molecular Function",1.89166388230375e-10,0.000144255035375882,1,-1.16114078592835,0.9822792636699,1.73052105220816,0.00472550450442943,0.032737158775006,0.0248905080723848,0.0497598467066135,-1.19075940152761,-1.15025019121563,-1.15880934211705,-1.14474420885312,1.69985494492829,"parity","Method-Specific","Downregulation"
"78_Sst_HPF","MIKKELSEN_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3","MIKKELSEN_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3",4,"association;expression;statistical;composite","MSigDB Curated",3.14104289005765e-12,0.00075698758745565,1,-1.1957546408054,0.984826169399377,1.4707096754006,0.0243166734006445,0.0439004853217871,0.0297872370848096,0.046986267941117,-1.2209289118764,-1.18816075300249,-1.19538137506739,-1.17854752327534,1.44839337592337,"parity","Method-Specific","Downregulation"
