"gene_id","external_gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","significant_fdr20","large_effect","weighted_score"
"ENSRNOG00000013764","Fam118a",11.4696060839758,-0.0587904125822828,0.120562904823803,-0.487632681612989,0.625810042293659,0.999995822429765,FALSE,FALSE,FALSE,0.0293961134408867
"ENSRNOG00000022796","Fgfbp3",6.69524556503647,-0.0776153772777495,0.159240667024958,-0.487409270055272,0.625968325506639,0.999995822429765,FALSE,FALSE,FALSE,0.03880859578862
"ENSRNOG00000006199","Crppa",5.42628670988617,-0.0850741119828395,0.174571690959888,-0.487330514558555,0.626024126519232,0.999995822429765,FALSE,FALSE,FALSE,0.042537963141165
"ENSRNOG00000015558","Zfp512b",46.0889021321959,0.030132843464839,0.0618506632248158,0.487187071144437,0.626125766677117,0.999995822429765,FALSE,FALSE,FALSE,0.0150673288821648
"ENSRNOG00000013213","Epha4",372.313604582976,-0.0280445458595696,0.0575678159655989,-0.487156675812199,0.626147304906823,0.999995822429765,FALSE,FALSE,FALSE,0.0140231800795301
"ENSRNOG00000014060","Mras",240.448894510507,-0.020341127620416,0.0417590051472495,-0.487107572335346,0.626182100461452,0.999995822429765,FALSE,FALSE,FALSE,0.0101714709599532
"ENSRNOG00000010361","Kif3b",88.5582229283708,-0.021741301171788,0.0446662014830653,-0.486750617914778,0.626435069415928,0.999995822429765,FALSE,FALSE,FALSE,0.0108715577356393
"ENSRNOG00000003259","C1qtnf1",7.90546347172065,0.0739317626608285,0.15189264322947,0.4867369550554,0.62644475298024,0.999995822429765,FALSE,FALSE,FALSE,0.0369667884801595
"ENSRNOG00000027204","Map6",49.5572804406313,0.0291726358544156,0.0599380518963057,0.486713113480648,0.626461650872789,0.999995822429765,FALSE,FALSE,FALSE,0.0145872250769531
"ENSRNOG00000004111","Soat1",12.9994275253115,-0.0551006033849222,0.113215582285756,-0.486687453020807,0.6264798381327,0.999995822429765,FALSE,FALSE,FALSE,0.0275512088422064
"ENSRNOG00000005108","Wfs1",266.7490911195,-0.129432281090503,0.266014660231569,-0.486560706758908,0.626569674897526,0.999995822429765,FALSE,FALSE,FALSE,0.0647170476949968
"ENSRNOG00000023650","Cops4",38.1202844512682,0.0325356421655869,0.0668711115111669,0.486542565696006,0.626582533595113,0.999995822429765,FALSE,FALSE,FALSE,0.0162687282325387
"ENSRNOG00000005074","Arl6ip6",2.06408387655736,-0.137029236675908,0.28166771714875,-0.48649251700912,0.626618009554177,0.999995822429765,FALSE,FALSE,FALSE,0.0685155254876993
"ENSRNOG00000050204","Naif1",3.97907908487979,0.101083565107141,0.207811733008655,0.486418950670755,0.626670157073836,0.999995822429765,FALSE,FALSE,FALSE,0.0505426897033157
